TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-07-04 02:38:23,1783132703130,seoforge.online/dashboard/media,GET,_rsc=lajEsLlWVFMzXoyZ,200,f76f7-1783132703130-ac0a190b0278,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,175,bom1,278,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJD1DD6EC3WCRDK0T60V,or07WmqDVign,1,,
2026-07-04 02:38:23,1783132703130,seoforge.online/dashboard/media,GET,_rsc=lajEsLlWVFMzXoyZ,200,f76f7-1783132703130-ac0a190b0278,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/media.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,8,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJNV9QXDQ7MNKQCP96Q1,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:22,1783132702659,seoforge.online/dashboard/providers,GET,_rsc=lajEsLlWVFMzXoyZ,200,vjnzr-1783132702659-f9ce919272b8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/providers.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,9,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJ6YGJ9EA9MWZ5E6B3JH,jyiycTDWPZOb,1,,
2026-07-04 02:38:22,1783132702659,seoforge.online/dashboard/providers,GET,_rsc=lajEsLlWVFMzXoyZ,200,vjnzr-1783132702659-f9ce919272b8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,170,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHY70THFTQJ36GPDFSG7,G4D089va5U45,1,,
2026-07-04 02:38:22,1783132702658,seoforge.online/dashboard/billing,GET,_rsc=lajEsLlWVFMzXoyZ,200,2vgpj-1783132702658-f8d5bef4996a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,169,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHY7HV0YF6ER2GJE9VX4,w6laqoqu385Y,1,,
2026-07-04 02:38:22,1783132702658,seoforge.online/dashboard/billing,GET,_rsc=lajEsLlWVFMzXoyZ,200,2vgpj-1783132702658-f8d5bef4996a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/billing.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,9,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVJ6TFJ1DP1FCFHFZJ15H,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:22,1783132702433,seoforge.online/dashboard/developer,GET,_rsc=lajEsLlWVFMzXoyZ,200,fhb9p-1783132702433-cee509056901,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/developer.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,10,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHZJV56V363XRXKDBPA7,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:22,1783132702433,seoforge.online/dashboard/developer,GET,_rsc=lajEsLlWVFMzXoyZ,200,fhb9p-1783132702433-cee509056901,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,164,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHQ3PJ8STHR8PK5DDAQA,G4D089va5U45,1,,
2026-07-04 02:38:22,1783132702431,seoforge.online/dashboard/onboarding,GET,_rsc=lajEsLlWVFMzXoyZ,200,78wl9-1783132702431-38ff433eaf6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/onboarding.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,8,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHZNKVFV9APQ89H48ZHT,jyiycTDWPZOb,1,,
2026-07-04 02:38:22,1783132702431,seoforge.online/dashboard/onboarding,GET,_rsc=lajEsLlWVFMzXoyZ,200,78wl9-1783132702431-38ff433eaf6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,167,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHQ51AC9M7W1F7WXHBH7,w6laqoqu385Y,1,,
2026-07-04 02:38:22,1783132702162,seoforge.online/dashboard,GET,_rsc=2DJV8dmcWYC1alSb,200,2vgpj-1783132702162-1d6b0b4c9282,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,161,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHEN0CRD2MWS6DBCE746,w6laqoqu385Y,1,,
2026-07-04 02:38:22,1783132702162,seoforge.online/dashboard,GET,_rsc=2DJV8dmcWYC1alSb,200,2vgpj-1783132702162-1d6b0b4c9282,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,6,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHPZ2SFM2ACAN3FDXNHP,jyiycTDWPZOb,1,,
2026-07-04 02:38:22,1783132702161,seoforge.online/dashboard/sites,GET,_rsc=2DJV8dmcWYC1alSb,200,vjnzr-1783132702161-f452c86f8d7b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,163,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHEMWYCP6X4TMQE29AP5,G4D089va5U45,1,,
2026-07-04 02:38:22,1783132702161,seoforge.online/dashboard/sites,GET,_rsc=2DJV8dmcWYC1alSb,200,vjnzr-1783132702161-f452c86f8d7b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/sites.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,7,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHQ2P7CEHSHW16PXM9VH,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:21,1783132701938,seoforge.online/dashboard/rankings,GET,_rsc=2DJV8dmcWYC1alSb,200,4kv2w-1783132701938-e13098f020a4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/rankings.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,6,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHGEGQPQSE3M0C4FQ09C,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:21,1783132701938,seoforge.online/dashboard/rankings,GET,_rsc=2DJV8dmcWYC1alSb,200,4kv2w-1783132701938-e13098f020a4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,172,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVH7NWQZHX55J0RX9PMV4,G4D089va5U45,1,,
2026-07-04 02:38:21,1783132701936,seoforge.online/dashboard/runs,GET,_rsc=2DJV8dmcWYC1alSb,200,4zgt9-1783132701936-33bed8464300,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/runs.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,7,iad1,324,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVHGD4SKYTQEZK38KAP0Q,jyiycTDWPZOb,1,,
2026-07-04 02:38:21,1783132701936,seoforge.online/dashboard/runs,GET,_rsc=2DJV8dmcWYC1alSb,200,4zgt9-1783132701936-33bed8464300,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,173,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVH7KRF9DWP295D7SCVWE,w6laqoqu385Y,1,,
2026-07-04 02:38:21,1783132701670,seoforge.online/dashboard/findings,GET,_rsc=2DJV8dmcWYC1alSb,200,fhb9p-1783132701670-1a6bb1fde75d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,162,bom1,279,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVGZDWPSVFDP887CT36PD,G4D089va5U45,1,,
2026-07-04 02:38:21,1783132701670,seoforge.online/dashboard/findings,GET,_rsc=2DJV8dmcWYC1alSb,200,fhb9p-1783132701670-1a6bb1fde75d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,function,/dashboard/findings.rsc,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,9,iad1,365,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVH7WE0V6B0G0JF8GZRNB,DeAUtWUQw1Hb,1,,
2026-07-04 02:38:21,1783132701669,seoforge.online/dashboard/proposals,GET,_rsc=2DJV8dmcWYC1alSb,200,vjnzr-1783132701669-e5e00868b801,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",,production,,MISS,middleware,/_middleware,seoforge.online,sales-forge-9zagpriyj-vikram-689rcoms-projects.vercel.app,dpl_8YobtVAvy8A8heSBror3m9y7kkZL,175,bom1,286,2048,,prj_jsnj5GezR2HliPbHbvzaonolcJlV,,,01KWNFVGZ8615K7NVYDS36MQ0K,w6laqoqu385Y,1,,
